idx	accession	name	source_database	pfam	total	cumsum	result_num	selected_pfam	name_pfam
84	CL0103	Gal_mutarotase	pfam	37	37	3087	7	PF04349	"Periplasmic glucan biosynthesis protein, MdoG"
32	CL0044	Ferritin	pfam	29	29	1875	12	PF06175	tRNA-(MS[2]IO[6]A)-hydroxylase (MiaE)
100	CL0123	HTH	pfam	507	507	4041	495	PF22564	HAAS
224	CL0266	PH	pfam	107	107	7064	8	PF03525	Meiotic recombination protein Rec7 N-terminal domain
15	CL0023	P-loop_NTPase	pfam	265	265	1276	59	PF02463	RecF/RecN/SMC N terminal domain
48	CL0062	APC	pfam	21	21	2305	20	PF16983	Molybdate transporter of MFS superfamily
25	CL0036	TIM_barrel	pfam	193	193	1742	17	PF00449	"Urease alpha-subunit, N-terminal domain"
165	CL0198	HHH	pfam	38	38	5947	1	PF00730	HhH-GPD superfamily base excision DNA repair protein
97	CL0117	uPAR_Ly6_toxin	pfam	13	13	3525	4	PF05444	Domain of unknown function (DUF753)
19	CL0028	AB_hydrolase	pfam	81	81	1399	17	PF03283	Pectinacetylesterase
442	CL0524	MPT63-MPB63	pfam	5	5	8684	3	PF16729	Domain of unknown function (DUF5067)
25	CL0036	TIM_barrel	pfam	193	193	1742	125	PF07505	Protein of unknown function (DUF5131)
182	CL0220	EF_hand	pfam	44	44	6337	33	PF20742	Family of unknown function (DUF5580) middle domain
426	CL0504	Phage_barrel	pfam	40	40	8614	38	PF22255	"Baseplate hub protein gp44-like, second domain"
34	CL0046	Thiolase	pfam	19	19	1901	17	PF22621	"CurL-like, PKS C-terminal"
466	CL0551	BCLiA	pfam	9	9	8815	1	PF02180	Bcl-2 homology region 4
14	CL0022	LRR	pfam	20	20	1011	10	PF13516	Leucine Rich repeat
12	CL0020	TPR	pfam	401	401	840	201	PF12862	Anaphase-promoting complex subunit 5
12	CL0020	TPR	pfam	401	401	840	196	PF12765	HEAT repeat associated with sister chromatid cohesion
41	CL0054	Knottin_1	pfam	15	15	2075	0	PF00304	Gamma-thionin family
615	CL0725	Apolipoprotein	pfam	6	6	9488	1	PF04691	Apolipoprotein C-I (ApoC-1)
357	CL0413	Toprim-like	pfam	12	12	8228	2	PF09664	Protein of unknown function C-terminus (DUF2399)
131	CL0159	E-set	pfam	431	431	4948	308	PF18997	Domain of unknown function (DUF5727)
34	CL0046	Thiolase	pfam	19	19	1901	10	PF08541	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
169	CL0202	GBD	pfam	108	108	6077	28	PF07828	PA-IL-like protein
330	CL0382	DNA-mend	pfam	10	10	8109	6	PF13009	Putative integrase
44	CL0057	Met_repress	pfam	55	55	2202	6	PF05509	TraY domain
140	CL0170	Peptidase_MD	pfam	7	7	5159	1	PF01427	D-ala-D-ala dipeptidase
15	CL0023	P-loop_NTPase	pfam	265	265	1276	122	PF06733	DEAD_2
15	CL0023	P-loop_NTPase	pfam	265	265	1276	256	PF21448	Deoxynucleotide monophosphate kinase
435	CL0515	LTXXQ-like	pfam	4	4	8648	3	PF16231	Domain of unknown function (DUF4890)
477	CL0571	30K_movement	pfam	7	7	8879	4	PF03300	"Tenuivirus non-structural, movement protein NS4"
34	CL0046	Thiolase	pfam	19	19	1901	5	PF02801	"Beta-ketoacyl synthase, C-terminal domain"
