Entry	Reviewed	Entry Name	Length	Pfam	PDB
O00148	reviewed	DX39A_HUMAN	427	PF00270;PF00271;	8IJU;
O00571	reviewed	DDX3X_HUMAN	662	PF00270;PF00271;	2I4I;2JGN;3JRV;4O2C;4O2E;4O2F;4PX9;4PXA;5E7I;5E7J;5E7M;6CZ5;6O5F;7LIU;8SSW;
O14646	reviewed	CHD1_HUMAN	1710	PF18375;PF13907;PF00385;PF00271;PF00176;	2B2T;2B2U;2B2V;2B2W;2B2Y;2N39;4B4C;4NW2;4O42;5AFW;
O43143	reviewed	DHX15_HUMAN	795	PF00270;PF21010;PF04408;PF00271;PF07717;	5XDR;6ID1;6SH6;6SH7;8EJM;
O60231	reviewed	DHX16_HUMAN	1041	PF00270;PF21010;PF04408;PF00271;PF07717;	5Z56;5Z57;5Z58;6FF7;7DVQ;7QTT;8CH6;
O60264	reviewed	SMCA5_HUMAN	1052	PF09110;PF00271;PF09111;PF00176;	6NE3;8V4Y;8V6V;8V7L;
O75417	reviewed	DPOLQ_HUMAN	2590	PF00270;PF00476;PF00271;PF20470;PF21099;	4X0P;4X0Q;5A9F;5A9J;5AGA;6XBU;7ZUS;7ZX0;7ZX1;8E23;8E24;8GD7;9BH6;9BH7;9BH8;9BH9;9BHA;
O75643	reviewed	U520_HUMAN	2136	PF21188;PF00270;PF00271;PF18149;PF02889;	2Q0Z;3JCR;4F91;4F92;4F93;4KIT;5O9Z;5URJ;5URK;5URM;5XJC;5YZG;5Z56;5Z57;5Z58;6AH0;6AHD;6FF7;6ICZ;6QDV;6QW6;6QX9;6S8O;6S8Q;6S9I;7A5P;7ABG;7ABI;7BDI;7BDJ;7BDK;7BDL;7DVQ;7OS1;7OS2;7PX3;7W5B;8BC8;8BC9;8BCA;8BCB;8BCC;8BCD;8BCE;8BCF;8BCG;8BCH;8C6J;8CH6;8H6E;8H6J;8H6K;8H6L;8Q7Q;8Q7V;8Q7W;8Q7X;8Q91;8QO9;8QOZ;8QP9;8QPA;8QPB;8QPK;8QXD;8QZS;8R08;8R09;8R0A;8R0B;8RC0;8RM5;8Y6O;
O94761	reviewed	RECQ4_HUMAN	1208	PF00270;PF11719;PF00271;	2KMU;5LST;
O94762	reviewed	RECQ5_HUMAN	991	PF00270;PF00271;PF06959;PF16124;PF08236;	4BK0;5LB3;5LB5;5LB8;5LBA;7ZML;7ZMM;7ZMN;7ZMO;7ZMP;7ZMQ;7ZMR;7ZMS;7ZMT;7ZMV;
O95786	reviewed	RIGI_HUMAN	925	PF16739;PF00270;PF00271;PF18119;PF11648;	2LWD;2LWE;2QFB;2QFD;2RMJ;2YKG;3LRN;3LRR;3NCU;3OG8;3ZD6;3ZD7;4AY2;4BPB;4NQK;4ON9;4P4H;5E3H;5F98;5F9F;5F9H;6GPG;6KYV;7BAH;7BAI;7JL1;7JL3;7MK1;7TNX;7TNY;7TNZ;7TO0;7TO1;7TO2;8DVR;8DVS;8DVU;8G7T;8G7U;8G7V;8SCZ;8SD0;
P17844	reviewed	DDX5_HUMAN	614	PF00270;PF00271;PF08061;	3FE2;4A4D;
P19447	reviewed	ERCC3_HUMAN	782	PF16203;PF13625;PF04851;	4ERN;5IVW;5IY6;5IY7;5IY8;5IY9;5OF4;6NMI;6O9L;6O9M;6RO4;7AD8;7EGB;7EGC;7ENA;7ENC;7LBM;7NVR;7NVV;7NVW;7NVX;7NVY;7NVZ;7NW0;8BVW;8BYQ;8EBS;8EBT;8EBU;8EBV;8EBW;8EBX;8EBY;8GXQ;8GXS;8WAK;8WAL;8WAN;8WAO;8WAP;8WAQ;8WAR;8WAS;
P26196	reviewed	DDX6_HUMAN	483	PF00270;PF00271;	1VEC;2WAX;2WAY;4CRW;4CT4;4CT5;5ANR;6F9S;6S8S;
P38919	reviewed	IF4A3_HUMAN	411	PF00270;PF00271;	2HXY;2HYI;2J0Q;2J0S;2J0U;2XB2;3EX7;4C9B;5MQF;5XJC;5YZG;6ICZ;6QDV;6YVH;7A5P;7W59;7W5A;7W5B;7ZNJ;8C6J;
P42285	reviewed	MTREX_HUMAN	1042	PF00270;PF08148;PF00271;PF21408;PF13234;	6C90;6D6Q;6D6R;6IEG;6IEH;6RO1;7S7B;7S7C;7Z4Y;7Z4Z;7Z52;
P46063	reviewed	RECQ1_HUMAN	649	PF00270;PF00271;PF16124;	2V1X;2WWY;4U7D;6JTZ;
P46100	reviewed	ATRX_HUMAN	2492	PF17981;PF00271;PF00176;	2JM1;2LBM;2LD1;3QL9;3QLA;3QLC;3QLN;4W5A;5GRQ;5Y18;5Y6O;6G0O;
P51531	reviewed	SMCA2_HUMAN	1590	PF07533;PF00439;PF00271;PF07529;PF08880;PF14619;PF00176;	2DAT;4QY4;5DKC;5DKH;6EG2;6EG3;6HAX;6HAY;6HAZ;7S4E;7Z6L;7Z76;7Z77;7Z78;8G1P;8QJT;
P51532	reviewed	SMCA4_HUMAN	1647	PF07533;PF00439;PF00271;PF07529;PF08880;PF14619;PF00176;	2GRC;2H60;3UVD;5DKD;5EA1;6BGH;6HR2;6LTH;6LTJ;6SY2;6ZS2;7TAB;7VDT;7VDV;7VRB;7Y8R;8EB1;8G1Q;8QJR;
P54132	reviewed	BLM_HUMAN	1417	PF08072;PF16204;PF16202;PF00270;PF00271;PF00570;PF16124;PF09382;	2KV2;2MH9;2RRD;3WE2;3WE3;4CDG;4CGZ;4O3M;5LUP;5MK5;5U6K;7AUC;7AUD;7XUW;7XV0;
P60842	reviewed	IF4A1_HUMAN	406	PF00270;PF00271;	2G9N;2ZU6;3EIQ;5ZBZ;5ZC9;6ZMW;7PPZ;7PQ0;8HUJ;8OZ0;8XXN;
Q03468	reviewed	ERCC6_HUMAN	1493	PF00271;PF00176;	4CVO;7OO3;7OOB;7OOP;7OPC;7OPD;8B3D;8B3F;
Q08211	reviewed	DHX9_HUMAN	1270	PF00270;PF00035;PF21010;PF04408;PF00271;PF07717;	3LLM;3VYX;3VYY;8SZP;
Q13206	reviewed	DDX10_HUMAN	875	PF00270;PF13959;PF00271;	2PL3;
Q13838	reviewed	DX39B_HUMAN	428	PF00270;PF00271;	1T5I;1T6N;1XTI;1XTJ;1XTK;7APK;7ZNK;7ZNL;8ENK;
