	idx	accession	name	source_database	pfam_x	total	cumsum	result_num	selected_pfam	name_pfam	pfam_y	pdb	chain	results
0	84	CL0103	Gal_mutarotase	pfam	37	37	3087	7	PF04349	Periplasmic glucan biosynthesis protein, MdoG	PF04349	1txk	A	17
1	32	CL0044	Ferritin	pfam	29	29	1875	12	PF06175	tRNA-(MS[2]IO[6]A)-hydroxylase (MiaE)	PF06175	2itb	A	17
2	15	CL0023	P-loop_NTPase	pfam	265	265	1276	59	PF02463	RecF/RecN/SMC N terminal domain	PF02463	1e69	A	134
3	25	CL0036	TIM_barrel	pfam	193	193	1742	17	PF00449	Urease alpha-subunit, N-terminal domain	PF00449	1a5k	C	155
4	165	CL0198	HHH	pfam	38	38	5947	1	PF00730	HhH-GPD superfamily base excision DNA repair protein	PF00730	1diz	A	59
5	19	CL0028	AB_hydrolase	pfam	81	81	1399	17	PF03283	Pectinacetylesterase	PF03283	4uyu	A	154
6	34	CL0046	Thiolase	pfam	19	19	1901	17	PF22621	CurL-like, PKS C-terminal	PF22621	4mz0	A	519
7	466	CL0551	BCLiA	pfam	9	9	8815	1	PF02180	Bcl-2 homology region 4	PF02180	1af3	A	584
8	14	CL0022	LRR	pfam	20	20	1011	10	PF13516	Leucine Rich repeat	PF13516	1a4y	A	522
9	12	CL0020	TPR	pfam	401	401	840	201	PF12862	Anaphase-promoting complex subunit 5	PF12862	4ui9	O	20
10	12	CL0020	TPR	pfam	401	401	840	196	PF12765	HEAT repeat associated with sister chromatid cohesion	PF12765	5me3	A	93
11	41	CL0054	Knottin_1	pfam	15	15	2075	0	PF00304	Gamma-thionin family	PF00304	1gps	A	42
12	34	CL0046	Thiolase	pfam	19	19	1901	10	PF08541	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal	PF08541	1ebl	A	301
13	169	CL0202	GBD	pfam	108	108	6077	28	PF07828	PA-IL-like protein	PF07828	1l7l	A	197
14	15	CL0023	P-loop_NTPase	pfam	265	265	1276	122	PF06733	DEAD_2	PF06733	2vsf	A	74
15	34	CL0046	Thiolase	pfam	19	19	1901	5	PF02801	Beta-ketoacyl synthase, C-terminal domain	PF02801	1b3n	A	509
16	676	CL0790	Cas9_WED-like	pfam	2	2	9712	0	PF18061	CRISPR-Cas9 WED domain	PF18061	5axw	A	143
