	pfam	pdb	chain	results
0	PF04349	1txk	A	17
1	PF06175	2itb	A	17
2	PF02463	1e69	A	134
3	PF00449	1a5k	C	155
4	PF00730	1diz	A	59
5	PF03283	4uyu	A	154
6	PF22621	4mz0	A	519
7	PF02180	1af3	A	584
8	PF13516	1a4y	A	522
9	PF12862	4ui9	O	20
10	PF12765	5me3	A	93
11	PF00304	1gps	A	42
12	PF08541	1ebl	A	301
13	PF07828	1l7l	A	197
14	PF06733	2vsf	A	74
15	PF02801	1b3n	A	509
16	PF18061	5axw	A	143
17	PF22568	3mvp	A	305
18	PF22080	3j9k	A	69
19	PF03102	1vli	A	18
20	PF07660	1kmo	A	90
21	PF14314	4uci	A	19
22	PF01174	1q7r	A	66
23	PF08423	1n0w	A	449
24	PF06003	1g5v	A	49
25	PF00333	1dv4	E	500
26	PF02127	1y7e	A	109
27	PF22644	2vhl	A	34
28	PF22141	2thi	A	28
29	PF16819	3dsm	A	24
30	PF01428	7qxw	v	20
31	PF04234	1ix2	A	26
32	PF10509	1pie	A	121
33	PF02782	1bo5	O	189
34	PF11971	3ky9	A	123
35	PF01764	1dt3	A	127
36	PF16497	1cd1	A	500
37	PF00806	1ib2	A	123
38	PF03360	1fgg	A	16
39	PF20750	1f5a	A	18
40	PF17174	6adq	J	18
41	PF02018	2w5f	A	377
42	PF18777	3gb8	A	109
43	PF03976	3czp	A	154
44	PF21176	1vdd	A	41
45	PF03567	3f5f	A	500
46	PF02157	1c39	A	26
47	PF02075	1hjr	A	17
48	PF00659	1q4k	A	90
49	PF00961	1af5	A	120
50	PF01712	1j90	A	209
51	PF02742	1b1b	A	140
52	PF03097	1zb1	A	52
53	PF09173	1kjz	A	500
54	PF01571	1pj5	A	91
55	PF05282	3sbs	A	404
56	PF17812	4ux8	A	21
57	PF02597	1vjk	A	17
58	PF06747	2zxt	A	502
59	PF22042	1wdt	A	480
60	PF16838	4eo2	A	26
61	PF04493	2w35	A	47
62	PF00302	1cia	A	64
63	PF06100	4ia5	A	29
64	PF07449	2es7	A	17
65	PF00365	1kzh	A	95
66	PF01417	1edu	A	39
67	PF03308	2p67	A	48
68	PF05932	1jya	A	23
69	PF00135	1acj	A	500
70	PF02870	1eh6	A	80
71	PF17967	2fgz	A	131
72	PF00789	1h8c	A	22
73	PF14835	1jm7	B	25
74	PF22690	4v8l	A	830
75	PF03045	4jph	A	16
76	PF00488	1e3m	A	121
77	PF05223	1mwr	A	274
78	PF17756	2x2u	A	21
79	PF05426	1hv6	A	36
80	PF16295	4me9	A	307
81	PF13450	1djn	A	356
82	PF01008	1t5o	A	266
83	PF00005	1b0u	A	532
84	PF12702	3hty	A	16
85	PF02784	1d7k	A	125
86	PF06725	2ae0	X	16
87	PF18376	1fi4	A	86
88	PF00407	1b6f	A	271
89	PF00500	1dzl	A	304
90	PF13415	5gqt	A	682
91	PF12217	1v0e	A	27
92	PF04636	5cuf	A	46
93	PF18791	2p1m	B	62
94	PF13816	3a15	A	26
95	PF13409	1a0f	A	240
96	PF03949	1do8	A	162
97	PF21331	1bf2	A	280
98	PF08441	1jv2	A	182
99	PF16187	1q2l	A	356
100	PF00585	1tdj	A	280
101	PF10609	2ph1	A	35
102	PF22094	2a5y	B	42
103	PF03099	1bia	A	123
104	PF11941	1wza	A	514
105	PF01829	1f8v	A	30
106	PF19236	3ghm	A	87
107	PF06153	3m05	A	16
108	PF16589	1z56	C	22
